,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,archaius,Java
5,asgard,Groovy
6,astyanax,Java
7,atlas,Scala
8,atlas-docs,Python
9,aws-autoscaling,Shell
10,awsobjectmapper,Groovy
11,batch_request_api,Ruby
12,batch_request_client,Ruby
13,bbparse,C
14,bettertls,Go
15,blesk,JavaScript
16,bless,Python
17,blitz4j,Java
18,bpftop,C
19,brutal,Python
20,cachemover,C++
21,CassJMeter,Java
22,chaosmonkey,Go
23,Cloud-Prize,
24,clove,Python
25,codec_compare,Python
26,concurrency-limits,Java
27,conductor,Java
28,conductor-community,Java
29,conductor-docs,Python
30,conductor-ui,JavaScript
31,consoleme,Python
32,curator,Java
33,denominator,Java
34,derand,Java
35,dgs,HTML
36,dgs-codegen,Kotlin
37,dgs-examples-java,Java
38,dgs-examples-java-2.7,Java
39,dgs-examples-java.latest,Java
40,dgs-examples-java16,Java
41,dgs-examples-kotlin,Kotlin
42,dgs-examples-kotlin-2.7,Kotlin
43,dgs-examples-webflux,Java
44,dgs-federation-example,Kotlin
45,dgs-framework,Kotlin
46,dgs-intellij-plugin,Kotlin
47,dial-reference,C
48,dispatch,Python
49,dispatch-docker,Shell
50,dyno,Java
51,dyno-queues,Java
52,dynomite,C
53,dynomite-manager,Java
54,e2nest,Python
55,eclipse-jifa,Java
56,eclipse-mat,
57,edda,Scala
58,edda-client,Java
59,element-server,JavaScript
60,ember-batch-request,JavaScript
61,ember-nf-graph,JavaScript
62,ember-nf-graph-examples,JavaScript
63,eslint-config-netflix,Shell
64,eureka,Java
65,eureka-ui,JavaScript
66,EVCache,Java
67,fabricator,Java
68,falcor,JavaScript
69,falcor-datasource-chainer,JavaScript
70,falcor-express,JavaScript
71,falcor-express-demo,HTML
72,falcor-hapi,JavaScript
73,falcor-hapi-demo,HTML
74,falcor-http-datasource,JavaScript
75,falcor-json-graph,JavaScript
76,falcor-observable,JavaScript
77,falcor-path-syntax,JavaScript
78,falcor-path-utils,JavaScript
79,falcor-restify,JavaScript
80,falcor-restify-demo,HTML
81,falcor-router,JavaScript
82,falcor-router-demo,JavaScript
83,fast_jsonapi,Ruby
84,Fenzo,Java
85,Fido,C#
86,flamescope,Python
87,frigga,Java
88,genie,Java
89,glisten,Groovy
